"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/P1shBcEvcH",FALSE,0,NA,2017-12-21 05:05:17,TRUE,NA,"943708934564663296",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","RojerAils",0,FALSE,FALSE,NA,NA
"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/oZQFr23a1N",FALSE,0,NA,2017-12-21 04:05:56,TRUE,NA,"943693997675024384",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","RojerAils",0,FALSE,FALSE,NA,NA
"Until recently your Spiritual Bosses in Saudi opposed Cinema. So ban was dutifully implemented in Valley. 
Now that… https://t.co/5ecWGmtYvJ",FALSE,0,NA,2017-12-21 01:49:59,TRUE,NA,"943659783390818306",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paragdamle7",0,FALSE,FALSE,NA,NA
"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/xIUlUBS38m",FALSE,0,NA,2017-12-21 01:48:04,TRUE,NA,"943659300978921472",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","RojerAils",0,FALSE,FALSE,NA,NA
"Will women driving in Saudi Arabia be a jolt for your business? What transforms opportunity in high-stakes to value… https://t.co/rhYlYnIfpT",FALSE,0,NA,2017-12-21 01:21:09,TRUE,NA,"943652526158696449",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","CDierickx",0,FALSE,FALSE,NA,NA
"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/ITTSEfqTAt",FALSE,0,NA,2017-12-21 00:47:16,TRUE,NA,"943643998824091649",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","RojerAils",0,FALSE,FALSE,NA,NA
"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/HRZSNOo95W",FALSE,0,NA,2017-12-20 22:52:23,TRUE,NA,"943615088975581184",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","RojerAils",0,FALSE,FALSE,NA,NA
"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/fJlLeeZFbg",FALSE,0,NA,2017-12-20 22:05:39,TRUE,NA,"943603328210165760",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","RojerAils",0,FALSE,FALSE,NA,NA
"RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…",FALSE,0,NA,2017-12-20 21:45:47,FALSE,NA,"943598327479881728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OzmaSommers",51,TRUE,FALSE,NA,NA
"Saudi women excited to buy cars and start driving
https://t.co/XzA4U4lwxN",FALSE,0,NA,2017-12-20 21:19:34,FALSE,NA,"943591733127974915",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","magistrimarini2",0,FALSE,FALSE,NA,NA
