,score,text,,,,,,,,,,,,,,,,,,
1,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/P1shBcEvcH",,,,,,,,,,,,,,,,,English,Arabic
2,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/oZQFr23a1N",,,,,,,,,,,,,,,,,1,0
3,1,"Until recently your Spiritual Bosses in Saudi opposed Cinema. So ban was dutifully implemented in Valley. 
Now that… https://t.co/5ecWGmtYvJ",,,,,,,,,,,,,,,,,5,1
4,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/xIUlUBS38m",,,,,,,,,,,,,,,,,39,6
5,-1,Will women driving in Saudi Arabia be a jolt for your business? What transforms opportunity in high-stakes to value… https://t.co/rhYlYnIfpT,,,,,,,,,,,,,,,,,415,407
6,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/ITTSEfqTAt",,,,,,,,,,,,,,,,,229,147
7,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/HRZSNOo95W",,,,,,,,,,,,,,,,,16,6
8,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/fJlLeeZFbg",,,,,,,,,,,,,,,,,15,1
9,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
10,1,"Saudi women excited to buy cars and start driving
https://t.co/XzA4U4lwxN",,,,,,,,,,,,,,,,,,
11,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
12,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/SAHpThoJJS",,,,,,,,,,,,,,,,,,
13,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/F118seh328",,,,,,,,,,,,,,,,,,
14,0,RT @Shia_Kafir_24_7: Salafi Muslims will have an orgy &amp; praising ur ignorant accusations over Shia Muslims are 'mentally ill' just like the…,,,,,,,,,,,,,,,,,,
15,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
16,0,"RT @SaudiShift: <U+0627><U+0644><U+0645><U+0631><U+0648><U+0631>: <U+062D><U+062C><U+0632> <U+0627><U+0644><U+0633><U+0627><U+0626><U+0642><U+0627><U+062A> <U+0627><U+0644><U+0645><U+062E><U+0627><U+0644><U+0641><U+0627><U+062A> <U+0633><U+064A><U+0643><U+0648><U+0646> <U+0641><U+064A> <U+062F><U+0648><U+0631> <U+0627><U+0644><U+0631><U+0639><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0625><U+062C><U+062A><U+0645><U+0627><U+0639><U+064A><U+0629>
https://t.co/zoh7Vwvt9X",,,,,,,,,,,,,,,,,,
17,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
18,0,RT @Shia_Kafir_24_7: Salafi Muslims will have an orgy &amp; praising ur ignorant accusations over Shia Muslims are 'mentally ill' just like the…,,,,,,,,,,,,,,,,,,
19,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
20,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
21,0,Salafi Muslims will have an orgy &amp; praising ur ignorant accusations over Shia Muslims are 'mentally ill' just like… https://t.co/KjweU5cZFO,,,,,,,,,,,,,,,,,,
22,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
23,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
24,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
25,1,"Women News: Saudi women thank King Salman for the historical decision on women driving - 26, Saudi women marked the… https://t.co/nOdAs9E9Nq",,,,,,,,,,,,,,,,,,
26,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/YLVb3sLy3J",,,,,,,,,,,,,,,,,,
27,0,"<U+0627><U+0644><U+0645><U+0631><U+0648><U+0631>: <U+062D><U+062C><U+0632> <U+0627><U+0644><U+0633><U+0627><U+0626><U+0642><U+0627><U+062A> <U+0627><U+0644><U+0645><U+062E><U+0627><U+0644><U+0641><U+0627><U+062A> <U+0633><U+064A><U+0643><U+0648><U+0646> <U+0641><U+064A> <U+062F><U+0648><U+0631> <U+0627><U+0644><U+0631><U+0639><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0625><U+062C><U+062A><U+0645><U+0627><U+0639><U+064A><U+0629>
https://t.co/zoh7Vwvt9X",,,,,,,,,,,,,,,,,,
28,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
29,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/WesudS3yPp",,,,,,,,,,,,,,,,,,
30,0,"RT @WIshinwelmantra: @DrHorseshark This is how Saudi &amp; islamists treat ""migrant workers""   for years. https://t.co/2H5u9z1WPp These jerks h…",,,,,,,,,,,,,,,,,,
31,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
32,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
33,1,"Not anymore TBH
Alot of expats ive spoken to say the Saudi women (other than few restrictions like driving ban) are… https://t.co/lCbXsUvkwm",,,,,,,,,,,,,,,,,,
