"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @NoOora1414: #ַבװÚָ_םׁÝײ_Þםַֿו_ַבדַׁו_4
דה ׃דֽ בבÛָׁ םÊßבדזה Úבל ב׃ַה ßב ַדֳֹׁ ׃Úזֿםֹ ¿!
הֽה ßװÚָ ׃Úזֿם בַ הׁםֿ ַבÞםַֹֿ זב׃הַ ַָֹּֽ בוַ…",FALSE,0,NA,2017-12-20 23:17:01,FALSE,NA,"943621289578770435",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4UWi4N6a6sNecv8",118,TRUE,FALSE,NA,NA
"RT @ahmedalwadai1: דה ֽÞ ַבדֳֹׁ ַב׃Úזֿםֹ ַה Ê׃Êָֿב ׁ־ױֹ ַבÞםַֹֿ ַבÊם ֽױבÊ Úבםוַ דה ַףם ֿזבֹ ־בםּםֹ ַבל ׁ־ױֹ ׃Úזֿםֹ זםװדב ַםײַ ֿזב ַ־ׁל ַבÊם…",FALSE,0,NA,2017-12-20 03:29:17,FALSE,NA,"943322384865611776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aayrur849",4,TRUE,FALSE,NA,NA
"@siii_sosa @s_hddu11 @rrzzrrzz00 ַהÊם דז ׃Úזֿםו ֳזבנַ &gt; ָבַ ÝÊה ... זßב ÊÛׁםַֿÊß ײֿ ÞַַׁׁÊ ַבֿזבו ז ֽÞזÞ ַבדֳׁו...ז… https://t.co/Fmn3N6vlUk",FALSE,0,"siii_sosa",2017-12-20 03:14:51,TRUE,"943248604973686784","943318754489925632","935858652631699456","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pr_asma",0,FALSE,FALSE,NA,NA
"@GhadaSaeed1 Ú ָבֿß ם ַַַַַַֻֽבו&gt;ַבֽדֿבבו ַהַ ׃Úזֿםו ַױב זÝױב זדַהם הÝ׃ ָÚײ ַבהַ׃ ַבם ַ׃םַֿוד ַםַׁה<ed><U+00A0><U+00BD><ed><U+00B1><U+009E>זַÊוַם״ זßַÊָו… https://t.co/GICFoPj9W5",FALSE,0,"GhadaSaeed1",2017-12-20 00:47:50,TRUE,"943214246376169474","943281756924411905","521249529","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pr_asma",0,FALSE,FALSE,NA,NA
"RT @Shaft966: #והַֿם_והֿם Êׂזׁ דהױֹ #הם׃ַה Ýם #דÚׁײ_ַב׃םַַׁÊ_ַבֿזבם Ýם #ֹּֿ
ַזב ßַָÊה ״םַֹׁ ׃Úזֿםֹ
https://t.co/3hEQ6X9lJ2
#Þםַֿו_ַבדֳׁו_בב…",FALSE,0,NA,2017-12-19 23:40:18,FALSE,NA,"943264759553683456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HaithamMair",2,TRUE,FALSE,NA,NA
"RT @eyesaudi: ׃Úזֿםֹ ÊÊּזףרב Ýם ַבױהַÚםֹ זÊהÞב בבה׃ֱַ דֿל ַ׃ÊÚַֿֿ ַבזׁװ בÞםַֿÊוה
#Þםַֿו_ַבדֳׁו_בב׃םַׁו 
_ https://t.co/CNV2rKWs8k",FALSE,0,NA,2017-12-19 22:39:02,FALSE,NA,"943249342688841730",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","966Account",6,TRUE,FALSE,NA,NA
"RT @MdAlomar: ÝÊַֹ ׃Úזֿםֹ ÞַדÊ ֵָהַׂב ַב׃ֶַÞ ַב־ַױ בֳּב ֵ־ַּׁ ַב׃םַֹׁ דה דזÞÝ ײםרÞ 
.
זהּֽÊ
.
#Þםַֹֿ_ַבדַׁו_בב׃םַׁו 
. https://t.co/XGEihBB…",FALSE,0,NA,2017-12-19 15:26:06,FALSE,NA,"943140390017912832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ma9una",2281,TRUE,FALSE,NA,NA
"ÝַָÊֶַֿם ßהÊ ִַדה ַה Þםַֹֿ ַבדַֹׁ ַֽׁד ז ַהַ דז ׃Úזֿםֹ זבַ ֽÊל Úַםװֹ ַָב׃Úזֿםֹ",FALSE,0,NA,2017-12-19 11:29:29,FALSE,NA,"943080842179547137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hudactor",0,FALSE,FALSE,NA,NA
"RT @eyesaudi: ׃Úזֿםֹ ÊÊּזףרב Ýם ַבױהַÚםֹ זÊהÞב בבה׃ֱַ דֿל ַ׃ÊÚַֿֿ ַבזׁװ בÞםַֿÊוה
#Þםַֿו_ַבדֳׁו_בב׃םַׁו 
_ https://t.co/CNV2rKWs8k",FALSE,0,NA,2017-12-19 01:37:42,FALSE,NA,"942931915018993665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vid24ksa",6,TRUE,FALSE,NA,NA
"#והַֿם_והֿם Êׂזׁ דהױֹ #הם׃ַה Ýם #דÚׁײ_ַב׃םַַׁÊ_ַבֿזבם Ýם #ֹּֿ
ַזב ßַָÊה ״םַֹׁ ׃Úזֿםֹ
https://t.co/3hEQ6X9lJ2… https://t.co/W6qiC3bfUv",FALSE,1,NA,2017-12-18 21:02:10,TRUE,NA,"942862575611666433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Shaft966",2,FALSE,FALSE,NA,NA
